Reviewer Name,Rating,Review Text,Sentiment
Radwa - October,5,"Customer rating: 5 out of 5 stars Great features !! Reviewed by Radwa - October 13, 2022 [This review was collected as part of a promotion.] I am so happy with this sony headphones!! The sound quality is amazing, It’s so soft. The material is so soft and the features is great. You can skip or pause by clicking with your finger. It is so comfortable and has great noise cancellation. The design is so neat and stylish it has a clean look. The best thing about it is the cup is big and it didn’t hurt my ears. But the only thing concern about is the case holder is kinda big. Yet it is stylish and neat it has a magnet inside to hold your charger. Overall i am happy with it . And highly recommend it. Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
Arlette22 - October,5,"Customer rating: 5 out of 5 stars Top of the line! Reviewed by Arlette22 - October 21, 2022 [This review was collected as part of a promotion.] The WH-1000XM5 wireless noise canceling headphones are awesome. I’m a satisfied costumer. These block out all the unwanted background noise, especially my fan. The battery life is amazing to. The fit is perfect and comfortable. Great for traveling with hours on top of hours of play and talk time. You can’t go wrong with this purchase. Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
Justme45 - October,5,"Customer rating: 5 out of 5 stars WH-1000XM5 WIRELESS HEADPHONES ROCK Reviewed by Justme45 - October 27, 2022 [This review was collected as part of a promotion.] I wear headphones everyday for my job , and for fun . I have been threw alot of headphones cheap to expensive,  and by far I love these. They are noise canceling,  easy to use, Bluetooth,  and the best part is if you move them off your ear, it automatically pauses your stuff. So no more having to stop and pause manually which helps especially for my job. I'm love they come with a really nice case, easy-to-use,  and carry anywhere.  You will love these . The quality alone is so good.  Just love them. They last forever before you charge them. The best I say for sure. Obsessed!! Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
Adeeric - March,5,"Customer rating: 5 out of 5 stars WH-1000XM5 Vibing Reviewed by Adeeric - March 4, 2025 I bought this headphone today and the unboxing to connecting to Bluetooth, setting up the app, to the knowing how to operate the headphone is thrilling Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
Cher12 - October,5,"Customer rating: 5 out of 5 stars Blocks Noise & Plays Favorite Music Reviewed by Cher12 - October 12, 2022 [This review was collected as part of a promotion.] I absolutely love the Sony noise canceling headphones. They block out noise very well. I love that it has built-in Alexa and I can listen to my favorite music anytime. I never miss a phone call or notification because it will let you know when you have notifications. The built-in Alexa allows you to call someone whenever by simply asking. They fit so comfortably that you could wear them all day if you wish. The cushions are thick and fit snugly around the ears to block unwanted noise. Set up was very simple with easy to follow instructions by scanning the QR code provided. Very well constructed with obvious comfort and convenience in mind. They will come in very handy for us because our back yard is an interstate highway just beginning construction. My husband loves them too and is planning on using them when mowing and weed eating the lawn. They will come in handy when using his chainsaw to trim the many trees in the yard. They will work great for the woodwork he does too. I'm happy they will protect his hearing while working with loud tools and machinery. I will enjoy them while gardening or anytime. I can play music while working around the house without waking my husband when he's working nights. It makes me a happier person while listening to my favorite music. It's so easy by simply asking it to play what I'm in the mood to hear. Sound quality is great. I would recommend the Sony noise canceling headphones because you can listen to your favorite music and never miss a notification or phone call and it blocks out loud noise. It makes life much more enjoyable while protecting your hearing. Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
H2ODogz - October,5,"Customer rating: 5 out of 5 stars Feature rich and sound as great as they feel! Reviewed by H2ODogz - October 5, 2022 [This review was collected as part of a promotion.] After extensive use I can confidently say that Sony’s new WH-1000XM5 headphones are a tremendous leap forward from previous models and the competition.  The headphones themselves feel very sturdy and will not break from minor contact or pressure.  A big improvement from previous models is that these fold flat into their case in a very intuitive and natural manner, whereas older models I experienced required some twisting and I worried each time about exerting too much pressure and causing a break.  The weight seems much improved and even after hours of use I don’t experience any pressure points or fatigue on my head or ears.  My absolute favorite part of the WH-1000XM5 is the noise cancellation, which is superior.  The cancellation is adaptive and filters the majority of ambient or ancillary sounds without the need to run optimization.  For example, other brands I have used may filter the din of traffic and sidewalk sounds but when an ambulance zooms by its siren penetrates the level of active noise cancelling in place causing a startling intrusion of loud sound.  The WH-1000XM5 manages such abrupt changes in ambient sound perfectly and optimizes with immediate recalibration to the active filtration.  I have truly not experienced this level smart adjustment on any other brand or model except for Apple’s top model.  An additional feature that I absolutely love is that the headphones intelligently perceive when they have been removed and pause playback; and when put back on, playback resumes (perfect if responding to a quick question, waiter, etc.).  All of these features combine together to make the WH-1000XM5 my essential traveling companion.  As for sound quality, the WH-1000XM5 is impressive and consistent.  Bass is deep and strong, but not overbearing and never prone to distort.  Highs are crisp but not intrusive – I feel that they were likely tuned with a perfectly flat response, then a slight bass boost applied.  The result is perfect for my listening experience and I never EQ the sound playback that they receive.  In summary, I highly recommend the WH-1000XM5 and am confident that others will be as impressed with the features as I continue to be. Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
Cessnatim - May,5,"Customer rating: 5 out of 5 stars Sony WH-1000XM5 Headphones Reviewed by Cessnatim - May 27, 2022 [This review was collected as part of a promotion.] Sony WH-1000XM5 Headphones

The Sony WH-1000XM5 are so impressive featuring new drivers with flagship superb features and design, active Noise Cancelling (ANC) Fantastic for home, office, travel the list is endless. Optimised for Alexa and Google Assistant.

The headphones are covered in a soft coating leatherette they are very comfortable to wear. One of the first things you notice when you open the box is the environmental packaging It's unbleached and wholly recyclable and uses no plastic whatsoever. The headphones are made mostly from Acrylonitrile Butadiene Styrene (ABS) which is useful material in acoustic terms which is mostly produced from recycled plastic and can be recycled again at the end of its life. So full marks to Sony for doing this.

The Sony WH-1000XM5 main controls use capacitive touch panel on the right ear cup with actions as follows:

Swipe Up = Volume Up
Swipe Down = Volume Down
Swipe Forward = Track forward
Swipe Back = Track back
Hold (Centre) =Voice assistant
Double tap centre= Pause / resume
Cup hand =. Ambient sound pass through

On the left ear cup you will find two buttons, a power button and ANC mode button.Hold down the power button turns the headphones on after three seconds pairing will start, after that you can pair with your phone/computer.

 If you press NC/AMB button you can toggle the ANC mode, you are able to select the ANC/ANC off. The Ambient sound mode lets you hear what’s going on around you.

You connect the headphones via Blue tooth or a TRS cable. When you listen to the WH-1000XM5 via the wired connection you turn the headphones on and that enables the ANC or leave them off. They sound quite different in passive mode.

At the bottom right is a USB-C Charging port that allows you to charge the headphones.

The Sony Headphones Connect App works great with these headphones and I highly recommend that you download it. Also you can get the latest updates for your headphones.

Battery life for these Sony headphones is approx 30 hours on a full charge, if  the battery is flat you can charge for just 3 minutes you will get 180 minutes of playback or of course you can always use the 3.5mm cable for analog playback.

The headphones  tend too boost the bass a bit too much with a detriment of the midrange however by using the App you can use the equalisation feature to tailor to your liking. 

These Sony Headphones support Sony’s high bit rate codec called LDAC which gives very good sound quality. 

On using the wired connection I found the sound performance identical to the wireless mode but you need to make sure they are powered on, if you listen in passive mode performance is not so good.

The Sony WH-1000XM5 headphones sport 8 microphones and the call quality is good and is excellent on zoom calls or phone meetings. It rejects outside noise well.

Overall these Sony headphones are a great buy but expensive, but if you want the best they are definitely worth the outlay. Review originally posted on sony.com Yes, I would recommend this to a friend.",Positive
"NJuice - May 20,",5,"Customer rating: 5 out of 5 stars Sony’s Best Noise Cancelling Headphones Yet Verified Buyer Reviewed by NJuice - May 20, 2022 [This review was collected as part of a promotion.] Sony has been at the top of the line for years now when it comes to Noise Cancelling Headphones, and their latest addition continues that tradition. So far my experience with the WH-1000XM5 have been excellent!

UNBOXING & SETUP:
- Sony has really impressed me this time around with their minimalist packaging and unboxing. Its a subtle thing but its just nice that everything is recyclable and it does not come with a bunch of extra packaging, twist ties, and plastic wrap.
- Once you take them out of the carrying case, they are essentially ready to use! Just connect them to your phone / tablet / computer and you are ready to go!
- Sony recommends downloading their Sony Headphone App as well, which is definitely useful. Especially since it downloads any software updates needed for the headphones in the future.

PROS:
- I absolutely love the refreshed design on these! The XM3 / XM4 had the same design which was fine, but the XM5’s really have a more modern sleek look to them that are a big upgrade.
- I was very impressed with how light these are and how comfortable they are! Sony opted for more of a plastic feel to keep them lighter, but I don’t think it makes them feel cheap. I think it was the right choice to make to keep all day comfort in mind as well as portability.
- On that note, I wore these for a long time and they were comfortable the entire time. The adjustable headband is better fitting, the ear pads are comfortable, and they are not too tight at all.
- When I first put these on I was truly blown away at the Noise Cancelling. I have used plenty of noise cancelling headphones in the past, but these easily offer the best noise cancelling I have used. Instantly you are taken back by how much sound they drown out.
- The Sound Quality is of course exceptional! Everything I listen to is so crisp and offers a ton of clarity. The dialogue / vocals are excellent, the bass is impactful, and everything about the music or show you listen to just feels alive. Overall I am very pleased with how great these sound.
- The touch controls are once again excellent as well! You can pause, play, change tracks, change from noise cancelling to transparency mode, and if you hold your hand over the right touchpad you can quickly hear what’s going on around you which is an cool little trick.
- Taking calls on the XM5’s are fantastic as well! I can tell the call quality has improved and people have told me the mics sound great on their end as well. Definitely would be really easy to use for phone calls, work meetings, or gaming as well.
- Battery life is really solid too! 30 hours with ANC on, 40 without ANC, and they give you 3 hours of playback from 3 mins of charging if you are in a pinch.
- Lastly, the minor details all work well too! They still offer a aux port, still charge via USB-C, and the carrying case feels premium.

CONS:
- I do wish these had a waterproof design for use outdoors or while working out.
- The carrying case is larger than before since the headphones do not collapse/fold in, and instead just lay flat. However I still think the carrying case is really nice.

BOTTOM LINE:
- The Sony WH-1000XM5’s are simply the best Noise Cancelling Headphones you can buy! They offer superb Sound, Noise Cancelling, have great features, and are very comfortable! Plus Sony headphones just work with everything - Android, Apple, Windows, you name it. If you are in the market and want the best headphones possible, these are the ones to buy! Review originally posted on bestbuy.com Yes, I would recommend this to a friend.",Positive
Trobadour - May,5,"Customer rating: 5 out of 5 stars Beats the Competition Reviewed by Trobadour - May 25, 2022 [This review was collected as part of a promotion.] --- SETUP ---
To set up these headphones, you must download the Sony Headphones app.  From there, follow the on-screen instructions to connect them via bluetooth to your mobile device.  

--- FEATURES ---
8 microphones for active noise canceling (ANC) exceptionality, bluetooth and auxiliary options, USB-C charge, 3 minute charge gives 3 hours of use, 4 microphones for voice precision, capacitive touch controls, auto-ambience features, and 30 hours of continuous use.  

--- PERFORMANCE AND EXPECTATIONS ---
Visually, these headphones didn’t stand out much compared to other headphones I’ve owned.  In fact, they are prone to getting oily quickly and don’t scream quality at first glance.  However, what it lacks visually more than makes up with its superb features.   

The over-the-ear cup design makes these one of the most comfortable headphones I’ve worn to date.  It helps that they are light to wear and its minimalistic design makes it intuitive to use the controls available.  The headband has a memory foam that lies comfortably on your head for extended periods of time.  The true value of these headphones comes with the customization provided for you in the free Sony app.  

Within the Sony app, you can turn on several features that are unique to scenarios you may encounter.  For example, these headphones come with superb ANC technology.  What this means is that the embedded 8 microphones on the headphones turn on to block ambient sound around you and make your listening experience sound as if you are listening to your audio in a vacuum, allowing you to truly focus on what you’re listening to.  In the app, you can turn on a feature that will automatically turn off the ANC if you start talking with someone so that you can clearly hear them.  At that point, the microphones will capture the voice of the person talking to you, and you will hear them through the headphones.  This is great if all you plan to do is listen to your audio.  However, if you like singing along to your tunes, it doesn’t work so well.  Since it’s a feature you can turn on or off, you can decide what you prefer. 

Similarly, if you have the auto-ambient feature off, you can still turn off ANC temporarily and quickly with the intuitive touch-capacitive controls.  Place the palm of your hand on the right ear cup and your music will automatically fade and ANC will turn off, allowing you to listen to what you need to listen to.  Imagine being on a subway and you need to hear the stop.  This would be an ideal use of the quick ANC turn-off feature.  

The headphones also detect when you remove them.  Doing so, it pauses what you are listening to, including watching shows from a streaming service.  This is a feature that I enjoyed more and more because it’s just practical.  

The headphones feature 360 Reality Audio.  For it to work, you need to take pictures of your ears within the app, the pictures are sent to a Sony server to be analyzed, and in return, you get a personalized 360 audio experience with specific apps.  Some require a subscription.  However, you can try the feature with the free 360 Reality Audio.  I followed instructions and set up my personalized audio experience with the 360 Reality Audio app.  I listened to the audio before and after the analysis of my ears.  I personally didn’t find a difference, but the sound of the headphones is enjoyable nonetheless.  

--- VALUE ---
These headphones have the right amount of well thought out bells and whistles that are useful, practical, and easy to understand to justify their price.  

--- APPROVAL ---
I highly recommend the headphones for the person who considers themselves an audiophile, the student who wants no outside disturbance while studying, or for the person who simply wants the best audio combined with the best comfort for extended periods of time! Review originally posted on bestbuy.com Yes, I would recommend this to a friend.",Positive
"JKinSYR - May 23,",5,"Customer rating: 5 out of 5 stars Top notch noise canceling with a nice style Reviewed by JKinSYR - May 23, 2022 [This review was collected as part of a promotion.] Right out of the box I was so excited to pair these Sony WH-1000XM5 with my iPhone 13 Pro.  Simply need to put it into pairing mode and it was ready within seconds.  Download the Sony Headphones app from the App Store and my headphones were ready to be used to the fullest.

The technology that Sony has paired into this set of headphones is impressive.  Noise-canceling on this pair of headphones is impressive.  I can't hear much of any external noise when I'm around noisy environments.  Working from home I can't hear the cooling fan, external speaker, or vacuum when the noise canceling is active.  Even more impressive is the sound quality on phone calls or online web meetings.  I had my music speaker on 40% volume during a phone call and the other party couldn't hear my music, as only my voice was making it through to them.

Sony has crafted a pair of smart headphones with advanced technology built into them.  One QN1 noise-canceling processor paired with the Integrated V1 processor can really cancel out the background commotion.  There are a total of eight microphones that are actively monitoring external noise to give you the best audio experience as a headphone user.  Inside the ear cups are 30mm drivers that do an exceptional job at sound quality for crisp high notes and deep bass notes as well.  With the app, you can easily fine-tune the sound preference which suits your hearing best.  There is built-in AI in the form of DSEE Extreme to help upscale compressed digital music files to ensure that I'm getting a full experience for my music of choice.  Four beamforming microphones on this pair of headphones are designed to capture your voice in full clarity and precision.  Hands-free operation is possible with the touch interface that can be turned on/off through the app.  The right ear cup allows for volume and music controls for example.  These particular headphones also have the ability to pause your music when you start to speak so you can converse when needed, and this feature can be turned on/off via the app.  Also depending on your movements, the ANC will adjust in case you're moving around your home or various locations, and this feature took me some getting used to but can be turned on/off via the app.  Alexa is also built-in and can be activated if you choose to.  Pair these Sony headphones easily to two devices at the same time, which has been helpful for listening to music from my iPhone and then connecting to my Windows laptop for a virtual meeting.

There is a nice hardshell case that comes with these to help protect this luxury set of headphones.  Also included in the case is a 3.5mm gold plate L-shape audio wire so you can listen to your headphones with a wired connection if you choose to.  Also, there is a USB-PD cable for charging purposes.  Battery life is stated to be up to 30 hours of total play, and you can get a 3-hour charge in just 3 minutes with the provided USB-PD compatible AD adapter.  The overall fit of these headphones is really nice.  I can wear these for long periods of time without feeling discomfort.  The pads are large and soft with the leather encircling your ear in full.  The headphones are adjustable with nice smooth and quiet movement across the headband, without clicking to set a place on your headband size.  The look and design of these headphones are very upscale and minimalistic which I like because I don't want to be flashy with branding and attract attention with my headphone choice.  

For me, this has been a great set of headphones so far for home usage and while commuting.  They offer incredible noise cancellation and truly are one of the best sets I have ever used.  The style is elegant and upscale.  This is a luxury set of headphones meant for use in stationary settings and multi-tasking.  I would not recommend using these for any exercise or precipitation weather, since there is not an IPX rating.

PRO:
Noise-canceling technology is top-notch
The style looks really nice
Sony app offers many options to maximize the headphones
All-day comfort

CON:
Cautious to use while exercising due to lack of IPX rating Review originally posted on bestbuy.com Yes, I would recommend this to a friend.",Positive
